,county,fips,ST,lat,lng,population
513,Gregg,48183,TX,32.4805,-94.817,123633
514,Blair,42013,PA,40.4811,-78.3484,122495
515,Kennebec,23011,ME,44.4091,-69.7673,122158
516,Comanche,40031,OK,34.6621,-98.4717,121374
517,Douglas,20045,KS,38.8847,-95.2926,121304
518,Richland,39139,OH,40.7747,-82.5365,121043
519,Saline,5125,AR,34.6467,-92.6766,120990
520,Jasper,29097,MO,37.2035,-94.3406,120528
521,Morgan,1103,AL,34.4535,-86.8529,119352
522,Missoula,30063,MT,47.0365,-113.9237,119062
523,Carroll,13045,GA,33.5828,-85.0798,118692
524,Tom Green,48451,TX,31.4044,-100.4622,118645
525,Potter,48375,TX,35.4013,-101.8941,118323
526,La Crosse,55063,WI,43.9066,-91.1152,118168
527,Oswego,36075,NY,43.4269,-76.1413,117630
528,Berkeley,54003,WV,39.4641,-78.0275,117615
529,Clark,18019,IN,38.4772,-85.7073,117410
530,Allegan,26005,MI,42.5913,-85.8884,117104
531,Bonneville,16019,ID,43.3877,-111.6148,116970
532,Windham,9015,CT,41.83,-71.9874,116657
533,Lowndes,13185,GA,30.8338,-83.2677,116436
534,Henderson,37089,NC,35.3363,-82.48,116298
535,Wayne,39169,OH,40.8289,-81.888,116063
536,Sheboygan,55117,WI,43.7212,-87.9454,115152
537,Delaware,18035,IN,40.2275,-85.3969,114461
538,Calhoun,1015,AL,33.7714,-85.826,114324
539,Lycoming,42081,PA,41.3434,-77.0645,114014
540,Fayette,13113,GA,33.4139,-84.4943,113544
541,St. Mary's,24037,MD,38.3024,-76.6059,113182
542,Flagler,12035,FL,29.4614,-81.3136,112854
543,Pennington,46103,SD,44.0037,-102.8238,112504
544,Jefferson,36045,NY,44.0495,-75.9208,111454
545,Gallatin,30031,MT,45.5404,-111.1704,111401
546,Terrebonne,22109,LA,29.4148,-90.8663,111297
547,Mercer,42085,PA,41.3022,-80.2577,110519
548,Navajo,4017,AZ,35.3996,-110.3214,110271
549,LaPorte,18091,IN,41.546,-86.74,110026
550,Douglas,41019,OR,43.2797,-123.1665,110015
551,Kankakee,17091,IL,41.1377,-87.8618,109924
552,Newton,13217,GA,33.555,-83.8502,109835
553,Ontario,36069,NY,42.8528,-77.2998,109774
554,Eaton,26045,MI,42.5961,-84.8383,109730
555,Hardin,21093,KY,37.6979,-85.9634,109627
556,Craighead,5031,AR,35.8308,-90.6328,109081
557,LaSalle,17099,IL,41.344,-88.8859,108998
558,Albemarle,51003,VA,38.0229,-78.5567,108819
559,Cowlitz,53015,WA,46.1932,-122.681,108399
560,St. Lawrence,36089,NY,44.4964,-75.069,108352
561,Androscoggin,23001,ME,44.1658,-70.2065,107958
562,Matanuska-Susitna,2170,AK,62.3155,-149.5728,107360
563,Vigo,18167,IN,39.4306,-87.39,107305
564,Bradley,47011,TN,35.1541,-84.8596,106924
565,Sumter,45085,SC,33.9162,-80.3823,106675
566,Hanover,51085,VA,37.7601,-77.491,106538
567,Bartow,13015,GA,34.2377,-84.8403,106456
568,Monongalia,54061,WV,39.6303,-80.0466,106196
569,Yamhill,41071,OR,45.2327,-123.3081,106087
570,Miami,39109,OH,40.0535,-84.2289,106074
571,Warren,34041,NJ,40.8572,-74.9973,105730
572,Madison,28089,MS,32.6347,-90.0337,105482
573,Houston,1069,AL,31.1532,-85.3025,105319
574,Macon,17115,IL,39.86,-88.9615,104688
575,Cass,29037,MO,38.647,-94.3549,104687
576,DeKalb,17037,IL,41.8935,-88.7703,104588
577,Highlands,12055,FL,27.3434,-81.341,104574
578,Eau Claire,55035,WI,44.7268,-91.286,104132
579,Whitfield,13313,GA,34.8056,-84.9672,104122
580,Franklin,29071,MO,38.4111,-91.075,103629
581,Carver,27019,MN,44.8207,-93.8026,103561
582,Bay,26017,MI,43.7074,-83.9921,103506
583,Walworth,55127,WI,42.6685,-88.5419,103391
584,Wicomico,24045,MD,38.3733,-75.6208,103222
585,Cecil,24015,MD,39.5712,-75.9407,102889
586,Platte,29165,MO,39.3803,-94.7738,102848
587,Allen,39003,OH,40.7715,-84.1058,102808
588,Etowah,1055,AL,34.0453,-86.0348,102721
589,Woodbury,19193,IA,42.3897,-96.0448,102687
590,Fond du Lac,55039,WI,43.7536,-88.4882,102654
591,Adams,42001,PA,39.8715,-77.2179,102627
592,Columbiana,39029,OH,40.7684,-80.7772,102514
593,Craven,37049,NC,35.1249,-77.0939,102290
594,Tompkins,36109,NY,42.452,-76.4736,102237
595,Flathead,30029,MT,48.2951,-114.0497,102001
596,Rockwall,48397,TX,32.8978,-96.4079,101175
597,Daviess,21059,KY,37.7318,-87.0873,101001
598,Nevada,6057,CA,39.3013,-120.7688,99417
599,Laramie,56021,WY,41.3071,-104.6896,99272
600,Moore,37125,NC,35.3106,-79.4814,99263
601,Roanoke,51770,VA,37.2785,-79.9581,99122
602,Garland,5051,AR,34.5767,-93.1504,99043
603,Putnam,36079,NY,41.4267,-73.7495,98714
604,Montgomery,51121,VA,37.1743,-80.3872,98495
605,Fairbanks North Star,2090,AK,64.8078,-146.5654,98455
606,Lenawee,26091,MI,41.8951,-84.0664,98310
607,Sevier,47155,TN,35.7846,-83.5242,98007
608,Lafourche,22057,LA,29.5661,-90.4256,97980
609,Madison,47113,TN,35.6082,-88.8385,97838
610,Floyd,13115,GA,34.2632,-85.2143,97805
611,Cleveland,37045,NC,35.3341,-81.5555,97765
612,Ashtabula,39007,OH,41.7074,-80.7483,97416
613,Story,19169,IA,42.0362,-93.465,97355
614,Dubuque,19061,IA,42.4688,-90.8825,97193
615,Limestone,1083,AL,34.8101,-86.9814,96921
616,Grant,53025,WA,47.2057,-119.4517,96648
617,Sutter,6101,CA,39.0346,-121.6948,96315
618,Hunt,48231,TX,33.1236,-96.0855,96202
619,Marshall,1095,AL,34.367,-86.3066,96137
620,Sherburne,27141,MN,45.4439,-93.7746,96015
621,Steuben,36101,NY,42.2678,-77.3838,95843
622,Burleigh,38015,ND,46.9775,-100.4687,95509
623,Lancaster,45057,SC,34.6867,-80.7054,95378
624,Portsmouth,51740,VA,36.8468,-76.354,94961
625,Maury,47119,TN,35.6169,-87.077,94615
626,Nash,37127,NC,35.9673,-77.9864,94287
627,Roanoke,51161,VA,37.2693,-80.068,94103
628,Franklin,53021,WA,46.5347,-118.8989,93681
629,Geauga,39055,OH,41.4995,-81.1786,93657
630,Bowie,48037,TX,33.4458,-94.4234,93622
631,Campbell,21037,KY,38.9465,-84.3795,93608
632,Pottawattamie,19155,IA,41.3366,-95.5423,93478
633,Cabell,54011,WV,38.4203,-82.2417,93328
634,Walton,13297,GA,33.7816,-83.7339,93284
635,Lauderdale,1077,AL,34.9014,-87.654,92870
636,Cape May,34009,NJ,39.1496,-74.8002,92701
637,Grand Traverse,26055,MI,44.6688,-85.5605,92640
638,Benton,41003,OR,44.4918,-123.4293,92168
639,Tuscarawas,39157,OH,40.4409,-81.4738,92165
640,Calvert,24009,MD,38.5434,-76.5687,92094
641,Madison,21151,KY,37.7202,-84.278,92090
642,Rogers,40131,OK,36.3715,-95.6043,92052
643,Victoria,48469,TX,28.7963,-96.9715,92044
644,Suffolk,51800,VA,36.6953,-76.6398,91383
645,Northumberland,42097,PA,40.8519,-76.7095,91234
646,Rockingham,37157,NC,36.396,-79.775,91051
647,Dallas,19049,IA,41.6849,-94.0398,90418
648,Grafton,33009,NH,43.9407,-71.8208,90331
649,Rockdale,13247,GA,33.6543,-84.0266,90155
650,Burke,37023,NC,35.7496,-81.7048,90148
651,Wayne,36117,NY,43.1566,-77.0294,90103
652,St. Croix,55109,WI,45.034,-92.4526,89702
653,Ozaukee,55089,WI,43.384,-87.951,89179
654,St. Clair,1115,AL,33.7157,-86.3146,88929
655,Dougherty,13095,GA,31.5334,-84.2163,88696
656,Frederick,51069,VA,39.2046,-78.2626,88054
657,Lapeer,26087,MI,43.0901,-83.2218,87975
658,Buchanan,29021,MO,39.6598,-94.8059,87904
659,Dodge,55027,WI,43.4163,-88.7075,87569
660,Christian,29043,MO,36.9696,-93.1889,87324
661,Angelina,48005,TX,31.2548,-94.6119,87119
662,Mendocino,6045,CA,39.4402,-123.3915,87110
663,Josephine,41033,OR,42.3655,-123.5555,87097
664,Orangeburg,45075,SC,33.439,-80.8003,86953
665,Bastrop,48021,TX,30.1036,-97.312,86839
666,Bannock,16005,ID,42.6685,-112.2246,86742
667,Twin Falls,16083,ID,42.356,-114.6672,86198
668,Liberty,48291,TX,30.1516,-94.8122,86173
669,Lawrence,42073,PA,40.9912,-80.3347,86148
670,Muskingum,39119,OH,39.9654,-81.9444,86033
671,Nassau,12089,FL,30.6107,-81.8016,85762
672,Lee,28081,MS,34.2899,-88.6804,85304
673,Crawford,42039,PA,41.6847,-80.1062,85074
674,Glynn,13127,GA,31.2309,-81.5407,85008
675,Jefferson,55055,WI,43.0208,-88.7759,84837
676,Polk,41053,OR,44.9035,-123.4132,84730
677,Lincoln,37109,NC,35.4856,-81.2235,84580
678,Indiana,42063,PA,40.652,-79.0876,84463
679,Wood,54107,WV,39.2112,-81.515,84387
680,Island,53029,WA,48.163,-122.5481,84187
681,Chemung,36015,NY,42.1412,-76.76,84115
682,Orange,48361,TX,30.1213,-93.8939,83776
683,Midland,26111,MI,43.6468,-84.3881,83445
684,Cullman,1043,AL,34.1319,-86.8676,83345
685,Bartholomew,18005,IN,39.206,-85.8976,83280
686,St. Landry,22097,LA,30.5989,-92.0058,82786
687,Newport,44005,RI,41.5566,-71.2365,82731
688,Howard,18067,IN,40.4836,-86.1169,82486
689,Caldwell,37027,NC,35.953,-81.5464,82056
690,Henderson,48213,TX,32.2119,-95.8536,81969
691,Payne,40119,OK,36.0773,-96.9756,81912
692,Wilson,37195,NC,35.7051,-77.9187,81579
693,Cascade,30013,MT,47.308,-111.347,81576
694,Elmore,1051,AL,32.5966,-86.1491,81526
695,Leavenworth,20103,KS,39.1993,-95.038,81499
696,Barrow,13013,GA,33.9932,-83.7127,81294
697,Rockingham,51165,VA,38.512,-78.8758,81138
698,Lynchburg,51680,VA,37.4003,-79.1909,80970
699,Bullitt,21029,KY,37.9701,-85.6959,80921
700,Clinton,36019,NY,44.7462,-73.6782,80320
701,Wagoner,40145,OK,35.9611,-95.5212,80264
702,Talladega,1121,AL,33.3801,-86.1659,80244
703,Natrona,56025,WY,42.9622,-106.7985,80067
704,Clearfield,42033,PA,41.0,-78.4742,79466
705,Lewis,53041,WA,46.5778,-122.3927,79430
706,Kosciusko,18085,IN,41.2441,-85.8607,79156
707,Manitowoc,55071,WI,44.1199,-87.8097,78977
708,Bedford,51019,VA,37.3152,-79.5242,78965
709,Clinton,26037,MI,42.9437,-84.6015,78957
710,Cape Girardeau,29031,MO,37.384,-89.6844,78834
711,White,5145,AR,35.2563,-91.7456,78725
712,Putnam,47141,TN,36.1408,-85.4952,78542
713,Oconee,45073,SC,34.7535,-83.0659,78314
714,Floyd,18043,IN,38.3188,-85.907,77879
715,Bulloch,13031,GA,32.3968,-81.7432,77719
716,Yuba,6115,CA,39.269,-121.3513,77524
717,Umatilla,41059,OR,45.5919,-118.7369,77319
718,Cayuga,36011,NY,42.9175,-76.5545,76958
719,Ross,39141,OH,39.3376,-83.057,76816
720,Cattaraugus,36009,NY,42.2486,-78.6788,76750
721,Vermilion,17183,IL,40.1834,-87.7328,76704
722,Chelan,53007,WA,47.8692,-120.619,76653
723,Cole,29051,MO,38.5054,-92.2816,76630
724,Hancock,18059,IN,39.8236,-85.7732,76614
725,Valencia,35061,NM,34.7155,-106.809,76518
726,Anderson,47001,TN,36.1185,-84.1985,76513
727,Clallam,53009,WA,48.0493,-123.928,76482
728,Cheshire,33005,NH,42.9194,-72.2512,76040
729,James City,51095,VA,37.3288,-76.7789,76032
730,Hancock,39063,OH,41.0019,-83.6665,75765
731,Augusta,51015,VA,38.1644,-79.1339,75754
732,Coryell,48099,TX,31.3909,-97.7992,75576
733,Lauderdale,28075,MS,32.4043,-88.6626,75557
734,Scioto,39145,OH,38.8039,-82.9929,75441
735,Van Buren,26159,MI,42.2513,-86.0189,75416
736,Sullivan,36105,NY,41.7164,-74.7681,75329
737,Forrest,28035,MS,31.1889,-89.2579,75162
738,Monroe,12087,FL,25.3185,-81.1087,75137
739,Raleigh,54081,WV,37.7714,-81.2487,74452
740,Erie,39043,OH,41.3641,-82.6194,74419
741,Riley,20161,KS,39.2966,-96.7352,74059
742,Somerset,42111,PA,39.9725,-79.0283,73844
743,Putnam,12107,FL,29.6086,-81.7443,73784
744,Grays Harbor,53027,WA,47.1502,-123.7736,73769
745,Lonoke,5085,AR,34.7543,-91.8888,73163
746,Wood,55141,WI,44.4553,-90.0416,72892
747,Chatham,37037,NC,35.7026,-79.2553,72853
748,Pottawatomie,40125,OK,35.2066,-96.9484,72511
749,Walker,48471,TX,30.739,-95.5723,72295
750,McKinley,35031,NM,35.5807,-108.2618,71956
751,Kauai,15007,HI,22.0398,-159.5966,71949
752,Surry,37171,NC,36.4146,-80.688,71904
753,Apache,4001,AZ,35.3955,-109.4888,71714
754,Creek,40037,OK,35.9026,-96.3708,71505
755,Christian,21047,KY,36.8942,-87.4904,71470
756,DeKalb,1049,AL,34.4598,-85.8041,71430
757,Walton,12131,FL,30.6436,-86.1696,71049
758,Allegany,24001,MD,39.6215,-78.6976,71002
759,Madison,36053,NY,42.9128,-75.6697,70990
760,Robertson,47147,TN,36.5255,-86.8706,70982
761,Columbia,12023,FL,30.2242,-82.6215,70898
762,Portage,55097,WI,44.476,-89.5014,70822
763,Iberia,22045,LA,29.8965,-91.7301,70763
764,Greenwood,45047,SC,34.1537,-82.1259,70672
765,Franklin,25011,MA,42.5831,-72.5918,70529
766,Jackson,13157,GA,34.1339,-83.5664,70467
767,Isabella,26073,MI,43.6406,-84.8468,70363
768,Lea,35025,NM,32.7921,-103.4125,70359
769,Fauquier,51061,VA,38.7387,-77.8092,70353
770,Grand Forks,38035,ND,47.9219,-97.4569,70243
771,Morgan,18109,IN,39.4815,-86.4462,70141
772,Troup,13285,GA,33.0335,-85.0283,70095
773,Tooele,49045,UT,40.4488,-113.1311,69740
774,Broomfield,8014,CO,39.9542,-105.0526,69444
775,Walker,13295,GA,34.7356,-85.301,69398
776,Carteret,37031,NC,34.8357,-76.6589,69301
777,Greene,47059,TN,36.1753,-82.8458,69077
778,Ward,38101,ND,48.2217,-101.5418,68962
779,Lewis and Clark,30049,MT,47.1224,-112.3905,68714
780,Muskogee,40101,OK,35.6161,-95.3795,68451
781,York,51199,VA,37.2431,-76.5635,68389
782,Wilkes,37193,NC,36.2062,-81.163,68341
783,Jones,28067,MS,31.6226,-89.1688,68307
784,Shiawassee,26155,MI,42.9537,-84.1467,68176
785,Jefferson,5069,AR,34.2683,-91.9304,68123
786,Franklin,37069,NC,36.0828,-78.2857,68027
787,Wise,48497,TX,33.2159,-97.6545,67884
788,Harrison,54033,WV,39.2835,-80.3798,67620
789,Klamath,41035,OR,42.6863,-121.6501,67606
790,Aroostook,23003,ME,46.6589,-68.5989,67431
791,Belmont,39013,OH,40.0158,-80.9884,67424
792,Blue Earth,27013,MN,44.0346,-94.067,67368
793,Catoosa,13047,GA,34.9036,-85.1382,67181
794,Laurens,45059,SC,34.4834,-82.0057,66990
795,San Patricio,48409,TX,28.0092,-97.5188,66969
796,Williamson,17199,IL,37.7303,-88.9299,66929
797,Butler,20015,KS,37.7813,-96.8391,66890
798,Boone,18011,IN,40.0508,-86.4687,66875
799,Darlington,45031,SC,34.3325,-79.9577,66858
800,Otero,35035,NM,32.6132,-105.7414,66804
801,Rutherford,37161,NC,35.4026,-81.9198,66741
802,St. Francois,29187,MO,37.8103,-90.4723,66653
803,Rice,27131,MN,44.3543,-93.2967,66549
804,Harrison,48203,TX,32.5481,-94.3715,66547
805,Oldham,21185,KY,38.3994,-85.4483,66508
806,Marquette,26103,MI,46.4313,-87.6416,66403
807,Wayne,18177,IN,39.8644,-85.0099,66176
808,Grant,18053,IN,40.5158,-85.6547,66055
809,Spalding,13255,GA,33.2609,-84.2841,66043
810,Athens,39009,OH,39.3339,-82.0452,65945
811,Jefferson,39081,OH,40.385,-80.761,65943
812,Kershaw,45055,SC,34.3388,-80.5902,65926
813,Adams,17001,IL,39.9879,-91.1886,65670
814,McCracken,21145,KY,37.054,-88.7128,65485
815,Columbia,42037,PA,41.0486,-76.4052,65390
816,Armstrong,42005,PA,40.8121,-79.4646,65356
817,Mason,53045,WA,47.3484,-123.1928,65326
818,Marion,39101,OH,40.5872,-83.1609,65179
819,Nacogdoches,48347,TX,31.616,-94.6159,65080
820,Chaves,35005,NM,33.3633,-104.4669,64912
821,Pulaski,21199,KY,37.1039,-84.5772,64789
822,Crow Wing,27035,MN,46.4824,-94.0709,64775
823,Hamblen,47063,TN,36.2171,-83.2667,64479
824,Ionia,26067,MI,42.9451,-85.0746,64401
825,Lake,6033,CA,39.0996,-122.7532,64276
826,Warren,36113,NY,43.561,-73.846,64187
827,Tehama,6103,CA,40.1257,-122.234,64176
828,Coos,41011,OR,43.1742,-124.0594,64175
829,Chippewa,55017,WI,45.0694,-91.2799,64175
830,Sauk,55111,WI,43.4267,-89.9482,64152
831,Starr,48427,TX,26.5622,-98.7384,64032
832,Clay,27027,MN,46.8923,-96.4907,64029
833,Carbon,42025,PA,40.9182,-75.7088,63964
834,Pope,5115,AR,35.4478,-93.0345,63926
835,Walker,1127,AL,33.8033,-87.2974,63802
836,Montcalm,26117,MI,43.3109,-85.1525,63516
837,Sampson,37163,NC,34.9916,-78.3714,63284
838,Livingston,36051,NY,42.7281,-77.7755,63218
839,Crawford,5033,AR,35.588,-94.2429,63118
840,Salem,34033,NJ,39.5876,-75.3491,62754
841,Lamar,28073,MS,31.206,-89.5087,62693
842,Warrick,18173,IN,38.0922,-87.2721,62608
843,Reno,20155,KS,37.9529,-98.086,62421
844,Acadia,22001,LA,30.2906,-92.412,62371
845,Effingham,13103,GA,32.3673,-81.3414,62241
846,Georgetown,45043,SC,33.4343,-79.3324,62150
847,Stanly,37167,NC,35.3119,-80.251,62050
848,Liberty,13179,GA,31.8282,-81.4949,62039
849,Pender,37141,NC,34.5248,-77.9051,61891
850,Haywood,37087,NC,35.556,-82.9822,61862
851,Knox,39083,OH,40.3988,-82.4215,61776
852,Herkimer,36043,NY,43.4197,-74.9625,61738
853,Tipton,47167,TN,35.4973,-89.7566,61562
854,Garfield,40047,OK,36.3791,-97.7827,61555
855,San Benito,6069,CA,36.6057,-121.075,61547
856,Hall,31079,NE,40.8726,-98.5022,61338
857,Washington,36115,NY,43.3137,-73.4308,61304
858,Belknap,33001,NH,43.5179,-71.4227,61174
859,Lee,37105,NC,35.4752,-79.1715,61083
860,Barry,26015,MI,42.595,-85.309,61045
861,Pittsylvania,51143,VA,36.8213,-79.3971,60867
862,St. Joseph,26149,MI,41.9144,-85.5278,60789
863,Walla Walla,53071,WA,46.2298,-118.4784,60785
864,Bradford,42015,PA,41.7887,-76.5154,60721
865,Laurel,21125,KY,37.1107,-84.1178,60631
866,Washington,39167,OH,39.4553,-81.4953,60217
867,Hood,48221,TX,32.4299,-97.8323,60025
868,Cumberland,47035,TN,35.9504,-84.9984,60016
869,Columbia,36021,NY,42.2501,-73.6318,60016
870,Lawrence,39087,OH,38.5984,-82.5368,59901
871,Granville,37077,NC,36.304,-78.6527,59823
872,Vermilion,22113,LA,29.8466,-92.3237,59787
873,Garfield,8045,CO,39.5993,-107.904,59605
874,Otsego,36077,NY,42.6337,-75.0326,59593
875,Mercer,54055,WV,37.4055,-81.1114,59370
876,Duplin,37061,NC,34.9365,-77.933,58965
877,Lowndes,28087,MS,33.4729,-88.4433,58896
878,Lincoln,46083,SD,43.2789,-96.7218,58887
879,Kenai Peninsula,2122,AK,60.2654,-151.5652,58809
880,Sandusky,39143,OH,41.3562,-83.1464,58801
881,Pike,21195,KY,37.4691,-82.3958,58595
882,Rutland,50021,VT,43.5802,-73.0366,58527
883,Otter Tail,27111,MN,46.4088,-95.708,58416
884,Washington,50023,VT,44.2734,-72.6148,58336
885,Newton,29145,MO,36.9055,-94.3393,58288
886,Huron,39077,OH,41.1463,-82.598,58271
887,Pickaway,39129,OH,39.6419,-83.0244,58112
888,Maverick,48323,TX,28.7426,-100.3145,58098
889,Russell,1113,AL,32.2884,-85.1849,57938
890,Anderson,48001,TX,31.8133,-95.6525,57917
891,Union,39159,OH,40.2994,-83.3716,57871
892,Eddy,35015,NM,32.4715,-104.3044,57865
893,Gordon,13129,GA,34.5032,-84.8759,57756
894,Blount,1009,AL,33.9809,-86.5674,57755
895,Oxford,23017,ME,44.4998,-70.7566,57741
896,Lincoln,29113,MO,39.058,-90.96,57590
897,Genesee,36037,NY,43.0009,-78.1937,57554
898,Jackson,17077,IL,37.7851,-89.3821,57517
899,Hardin,48199,TX,30.3324,-94.3902,57356
900,Columbia,55021,WI,43.4666,-89.3337,57331
901,Cherokee,45021,SC,35.0481,-81.6206,57110
902,Jefferson,54037,WV,39.3076,-77.8628,56922
903,Hawkins,47073,TN,36.4412,-82.9447,56735
904,Putnam,54079,WV,38.5086,-81.909,56604
905,Carter,47019,TN,36.2928,-82.1275,56452
906,Lenoir,37107,NC,35.2388,-77.6412,56350
907,Marion,54049,WV,39.51,-80.2434,56233
908,Franklin,51067,VA,36.992,-79.881,56231
909,La Plata,8067,CO,37.2866,-107.8433,56138
910,Coffee,47031,TN,35.4906,-86.0748,56024
911,Van Zandt,48467,TX,32.5637,-95.8365,55970
912,Scott,21209,KY,38.2915,-84.5839,55961
913,Chisago,27025,MN,45.5025,-92.9084,55844
914,Watauga,37189,NC,36.2311,-81.6964,55669
915,Lyon,32019,NV,39.0206,-119.189,55667
916,Pike,42103,PA,41.332,-75.0338,55660
917,Columbus,37047,NC,34.2656,-78.655,55659
918,Autauga,1001,AL,32.5349,-86.6427,55639
919,Whiteside,17195,IL,41.7563,-89.9141,55583
920,Taney,29213,MO,36.6548,-93.0412,55563
921,Pearl River,28109,MS,30.7688,-89.5896,55512
922,Campbell,51031,VA,37.2054,-79.0965,55406
923,Grady,40051,OK,35.0169,-97.8841,55315
924,Seneca,39147,OH,41.1239,-83.1277,55251
925,Carson City,32510,NV,39.1511,-119.7476,55244
926,Windsor,50027,VT,43.5799,-72.5863,55191
927,Eagle,8037,CO,39.6278,-106.6953,54960
928,Colbert,1033,AL,34.7005,-87.805,54957
929,Box Elder,49003,UT,41.521,-113.0821,54953
930,Hancock,23009,ME,44.6643,-68.3585,54832
931,Hoke,37093,NC,35.0175,-79.2373,54590
932,Saline,20169,KS,38.7838,-97.65,54384
933,Jefferson,47089,TN,36.051,-83.4463,54162
934,Tuolumne,6109,CA,38.0276,-119.9548,54147
935,Lafayette,28071,MS,34.3568,-89.485,54059
936,Washington,51191,VA,36.7244,-81.9598,54005
937,Rusk,48401,TX,32.1077,-94.7618,53988
938,Camden,13039,GA,30.9306,-81.6699,53960
939,Johnson,29101,MO,38.7441,-93.8064,53948
940,Gila,4007,AZ,33.7997,-110.8116,53846
941,Waller,48473,TX,30.0108,-95.9876,53626
942,St. Martin,22099,LA,30.1291,-91.6082,53607
943,Harrisonburg,51660,VA,38.4362,-78.8735,53558
944,Ashland,39005,OH,40.846,-82.2707,53533
945,Jessamine,21113,KY,37.8721,-84.5809,53476
946,Fulton,36035,NY,43.1138,-74.4222,53452
947,McMinn,47107,TN,35.4247,-84.6175,53392
948,Roane,47145,TN,35.8479,-84.5232,53331
949,Boone,17007,IL,42.3231,-88.8234,53293
950,Dickson,47043,TN,36.149,-87.3567,53289
951,Loudon,47105,TN,35.7348,-84.3119,53169
952,Iron,49021,UT,37.8592,-113.2895,53148
953,St. Charles,22089,LA,29.9055,-90.3582,52856
954,Tuscola,26157,MI,43.4641,-83.4167,52683
955,Elko,32007,NV,41.1458,-115.3577,52537
956,Pulaski,29169,MO,37.8246,-92.2077,52359
957,Cherokee,48073,TX,31.837,-95.1652,52341
958,Coffee,1031,AL,31.4026,-85.9882,52238
959,Kerr,48265,TX,30.0615,-99.35,52195
960,Columbia,41009,OR,45.9438,-123.0883,52117
961,Edgecombe,37065,NC,35.9129,-77.5971,52069
962,Washington,40147,OK,36.7152,-95.9044,51995
963,Worcester,24047,MD,38.2128,-75.334,51967
964,Culpeper,51047,VA,38.486,-77.9558,51935
965,Jackson,1071,AL,34.7795,-85.9993,51765
966,Cass,26027,MI,41.9154,-85.9935,51613
967,Grant,55043,WI,42.8675,-90.7062,51570
968,Darke,39037,OH,40.1333,-84.6194,51387
969,Venango,42121,PA,41.401,-79.758,51355
970,Wayne,42127,PA,41.6487,-75.3033,51268
971,Coles,17029,IL,39.5203,-88.2218,51065
972,Henry,51089,VA,36.6828,-79.874,51032
973,Waupaca,55135,WI,44.4705,-88.9648,50997
974,Medina,48325,TX,29.3557,-99.1101,50869
975,Warren,19181,IA,41.3344,-93.5614,50867
976,Grundy,17063,IL,41.2851,-88.4185,50798
977,Ogle,17141,IL,42.0426,-89.3207,50793
978,Winona,27169,MN,43.9868,-91.7792,50744
979,Franklin,21073,KY,38.2392,-84.8771,50744
980,Halifax,37083,NC,36.2574,-77.6517,50678
981,Somerset,23025,ME,45.5139,-69.9589,50573
982,Franklin,36033,NY,44.5929,-74.3038,50389
983,Atascosa,48013,TX,28.8935,-98.5272,50194
984,Queen Anne's,24035,MD,39.0673,-76.0208,50163
985,Polk,48373,TX,30.7927,-94.83,50155
986,Wilson,48493,TX,29.174,-98.0866,50110
987,Knox,17095,IL,40.9318,-90.2132,50052
988,St. Mary,22101,LA,29.7206,-91.4485,50020
989,Calumet,55015,WI,44.0816,-88.2181,50005
990,Le Flore,40079,OK,34.9003,-94.7034,49999
991,Lamar,48277,TX,33.6673,-95.5712,49705
992,Dearborn,18029,IN,39.1452,-84.9732,49612
993,Buffalo,31019,NE,40.8552,-99.075,49594
994,Oktibbeha,28105,MS,33.4249,-88.8793,49593
995,Whitman,53075,WA,46.9012,-117.523,49577
996,Curry,35009,NM,34.5742,-103.347,49502
997,Navarro,48349,TX,32.0469,-96.4725,49475
998,Lincoln,41041,OR,44.642,-123.8682,49336
999,Vernon,22115,LA,31.1083,-93.1843,49315
1000,Montgomery,36057,NY,42.9023,-74.4397,49294
1001,Dale,1045,AL,31.4318,-85.611,49293
1002,Franklin,50011,VT,44.8578,-72.913,49275
1003,Gibson,47053,TN,35.9966,-88.9326,49193
1004,Henry,17073,IL,41.3531,-90.1314,49032
1005,Val Verde,48465,TX,29.893,-101.1517,49018
1006,Bedford,47003,TN,35.5138,-86.4589,48937
1007,Cherokee,40021,OK,35.9067,-94.9997,48871
1008,Newaygo,26123,MI,43.5542,-85.8009,48687
1009,Bristol,44001,RI,41.7173,-71.284,48645
1010,Shelby,39149,OH,40.3315,-84.2047,48610
1011,Douglas,32005,NV,38.9123,-119.6162,48486
1012,Carroll,33003,NH,43.8738,-71.2031,48461
1013,Tioga,36107,NY,42.1703,-76.3063,48431
1014,Crittenden,5035,AR,35.2057,-90.3078,48381
1015,Carter,40019,OK,34.2509,-97.2858,48380
1016,Henry,18065,IN,39.931,-85.3964,48158
1017,Bedford,42009,PA,40.0065,-78.4903,48154
1018,Shelby,21211,KY,38.2154,-85.1948,48100
1019,Fremont,8043,CO,38.4731,-105.4395,47725
1020,Noble,18113,IN,41.3986,-85.4175,47640
1021,Cortland,36023,NY,42.595,-76.0703,47618
1022,Burnet,48053,TX,30.7884,-98.1823,47548
1023,Chenango,36017,NY,42.4935,-75.6116,47527
1024,Jackson,12063,FL,30.7954,-85.2155,47409
1025,Laurens,13175,GA,32.4636,-82.9222,47404
1026,Logan,40083,OK,35.9193,-97.4433,47401
1027,Boyd,21019,KY,38.3596,-82.6877,47361
1028,Hancock,28045,MS,30.416,-89.4885,47339
1029,Greene,36039,NY,42.2765,-74.1227,47335
